state,age,dx,bsn,exc,exposure,exc_r,bsn_r,mx
Illinois,35,6640.616530917565,5063.5664740119455,1577.0500569056194,4928797.483230663,31.99664953310103,102.73431787854561,134.73096741164665
Illinois,45,12492.166431751695,10443.677925731994,2048.488506019703,4595686.373032169,44.574158020016036,227.24957880103122,271.82373682104725
Illinois,55,28706.66502085768,24555.010866402496,4151.654154455184,4444976.708418891,93.40103282412825,552.4215868194478,645.822619643576
Illinois,65,44139.04185708287,35052.311165407446,9086.730691675424,3243993.8815879533,280.1093659038413,1080.529509144732,1360.6388750485733
Illinois,75,52737.78078648949,44673.779367620766,8064.001418868731,1677779.0082135524,480.6354936729738,2662.673638716462,3143.309132389436
Illinois,85,66481.9052337402,61762.01890192866,4719.886331811525,822066.8959616701,574.1486921560208,7513.016179745108,8087.16487190113
Indiana,0,1288.0055060015416,1457.5660142368038,-169.5605082352621,3856618.6481861738,-4.396610702357335,37.79388493395164,33.3972742315943
Indiana,15,1698.00925008259,1427.544688176441,270.46456190614913,2511137.37303217,10.770600000252724,56.84853021213638,67.6191302123891
Indiana,25,3394.016518004625,2606.341246138446,787.6752718661792,2419622.776865161,32.553639327477455,107.71684210690046,140.2704814343779
Indiana,35,4797.0264288073995,3627.066332190785,1169.960096616615,2454791.425051335,47.66026492829828,147.75456257408652,195.41482750238478
Indiana,45,8437.049333773813,7268.836987349911,1168.212346423902,2282456.914442163,51.18222994844201,318.465463306519,369.647693254961
Indiana,55,19457.119700473515,16381.841146979259,3075.2785534942586,2266559.9459274467,135.6804420293369,722.7623154822858,858.4427575116226
